Time (s);Identifier;Duration
0.000000;1009;0.000000
10.003906;9000;0.000000
10.003906;785;0.000000
30.009766;9001;0.000000
30.009766;785;0.000000
40.013672;768;0.000000
40.013672;786;0.000000
42.019531;785;0.000000
43.023438;770;0.000000
44.279297;781;0.000000
48.033203;800;0.000000
50.154297;768;0.000000
50.154297;786;0.000000
52.158203;785;0.000000
53.164062;770;0.000000
54.419922;781;0.000000
58.173828;800;0.000000
60.523438;768;0.000000
60.523438;786;0.000000
62.529297;785;0.000000
63.533203;770;0.000000
64.789062;781;0.000000
68.544922;800;0.000000
70.968750;768;0.000000
70.968750;786;0.000000
72.974609;785;0.000000
73.978516;770;0.000000
75.234375;781;0.000000
78.988281;800;0.000000
80.869141;768;0.000000
80.869141;786;0.000000
82.873047;785;0.000000
83.878906;769;0.000000
85.134766;781;0.000000
88.888672;800;0.000000
92.154297;768;0.000000
92.154297;786;0.000000
94.158203;785;0.000000
95.164062;769;0.000000
96.419922;781;0.000000
100.173828;800;0.000000
103.519531;768;0.000000
103.519531;786;0.000000
105.523438;785;0.000000
106.529297;769;0.000000
107.783203;781;0.000000
111.539062;800;0.000000
114.234375;768;0.000000
114.234375;786;0.000000
116.238281;785;0.000000
117.244141;769;0.000000
118.498047;781;0.000000
122.253906;800;0.000000
124.789062;768;0.000000
124.789062;786;0.000000
126.794922;785;0.000000
127.798828;769;0.000000
129.054688;781;0.000000
132.808594;800;0.000000
134.433594;768;0.000000
134.433594;786;0.000000
136.439453;785;0.000000
137.443359;769;0.000000
138.699219;781;0.000000
142.453125;800;0.000000
144.943359;768;0.000000
144.943359;786;0.000000
146.949219;785;0.000000
147.953125;769;0.000000
149.208984;781;0.000000
152.964844;800;0.000000
156.208984;768;0.000000
156.208984;786;0.000000
158.214844;785;0.000000
159.218750;770;0.000000
160.474609;781;0.000000
164.228516;800;0.000000
165.958984;768;0.000000
165.958984;786;0.000000
167.964844;785;0.000000
168.968750;770;0.000000
170.224609;781;0.000000
173.978516;800;0.000000
177.339844;768;0.000000
177.339844;786;0.000000
179.343750;785;0.000000
180.349609;769;0.000000
181.603516;781;0.000000
185.359375;800;0.000000
188.294922;768;0.000000
188.294922;786;0.000000
190.298828;785;0.000000
191.304688;770;0.000000
192.558594;781;0.000000
196.314453;800;0.000000
198.253906;768;0.000000
198.253906;786;0.000000
200.259766;785;0.000000
201.263672;769;0.000000
202.519531;781;0.000000
206.273438;800;0.000000
209.054688;768;0.000000
209.054688;786;0.000000
211.058594;785;0.000000
212.064453;770;0.000000
213.318359;781;0.000000
217.074219;800;0.000000
220.048828;768;0.000000
220.048828;786;0.000000
222.054688;785;0.000000
223.058594;770;0.000000
224.314453;781;0.000000
228.068359;800;0.000000
230.429688;768;0.000000
230.429688;786;0.000000
232.433594;785;0.000000
233.439453;770;0.000000
234.693359;781;0.000000
238.449219;800;0.000000
239.978516;768;0.000000
239.978516;786;0.000000
241.984375;785;0.000000
242.988281;770;0.000000
244.244141;781;0.000000
247.998047;800;0.000000
249.738281;768;0.000000
249.738281;786;0.000000
251.744141;785;0.000000
252.748047;770;0.000000
254.003906;781;0.000000
257.759766;800;0.000000
261.078125;768;0.000000
261.078125;786;0.000000
263.083984;785;0.000000
264.089844;769;0.000000
265.343750;781;0.000000
269.099609;800;0.000000
270.744141;768;0.000000
